ID,Year,Country,Region,Artist,Song,Artist_gender,Group_Solo,Place,Points,Home_Away_Country,Home_Away_Region,Is_Final,Semi_Final_Number,Song_In_English,Song_Quality,Normalized_Points,energy,duration,acousticness,danceability,tempo,speechiness,key,liveness,time_signature,mode,loudness,valence,Happiness
595,2012,Israel,Independent,Izabo,Time,NA,NA,13,33,Away,Away,0,1,1,1.479.587.403,0.027093596,0.871929808,17.746.395,0.015154976,0.514036504,130.008,0.036687651,11,0.116911134,4,1,-4.337,0.455237579,NA
596,2012,Latvia,Former Socialist Bloc,Anmary,Beautiful Song,NA,NA,16,17,Away,Away,0,1,1,0.960781879,0.013957307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
597,2012,Lithuania,Former Socialist Bloc,Donny Montell,Love Is Blind,NA,NA,3,104,Away,Away,0,2,1,5.119.178.836,0.085385878,0.553402278,18.399.166,0.386604174,0.451085225,124.09,0.050150345,3,0.115215005,4,0,-7.872,0.453867427,5.471.735.537
598,2012,Macedonia,Former Yugoslavia,Kaliopi,Crno I Belo,NA,NA,9,53,Away,Home,0,2,0,1.977.193.402,0.043513957,0.561371722,18.036.354,0.454026918,0.654112941,130.009,0.038646448,2,0.10300561,4,0,-10.38,0.056007468,5.397
599,2012,Malta,Western Europe,Kurt Calleja,This Is The Night,NA,NA,7,70,Away,Home,0,2,1,3.509.187.867,0.057471264,0.925031397,18.143.188,0.080521172,0.543810834,121.993,0.043895422,0,0.177831306,4,1,-2.805,0.723856096,5.216.631.579
600,2012,Moldova,Former Socialist Bloc,Pasha Parfeny,L utar,NA,NA,5,100,Away,Away,0,2,1,4.710.554.215,0.082101806,0.852041585,1.835.766,0.037384341,0.709004255,107.008,0.036270575,7,0.478437308,4,0,-5.579,0.767818294,NA
601,2012,Montenegro,Former Yugoslavia,Rambo Amadeus,Euro Neuro,NA,NA,15,20,Away,Away,0,2,1,137.061.332,0.016420361,0.82203987,18.041.578,0.019972621,0.753231775,115.077,0.073245879,9,0.265541751,4,1,-7.128,0.514398229,NA
602,2012,Netherlands,Western Europe,Joan Franka,You And Me,NA,NA,15,35,Away,Home,0,2,1,1.797.593.131,0.028735632,0.70099663,18.033.741,0.004091123,0.608763371,97.991,0.025474915,6,0.160109778,4,1,-8.02,0.521486072,NA
603,2012,Norway,Scandinavia,Tooji,Stay,NA,NA,10,45,Away,Away,0,2,1,2.374.781.717,0.036945813,0.846970059,1.771.678,0.012895248,0.56779763,127.013,0.114415216,5,0.323531015,4,1,-5.49,0.550302844,5.486.666.667
604,2012,Portugal,Former Socialist Bloc,Filipa Sousa,Vida Minha,NA,NA,13,39,Away,Away,0,2,0,2.219.183.695,0.032019704,0.852994081,17.665.333,0.790670397,0.561614901,108.061,0.074348923,10,0.159227359,4,0,-4.473,0.412032837,NA
605,2012,Romania,Western Europe,Mandinga,Zaleilah,NA,NA,3,120,Away,Away,0,2,1,544.612.484,0.098522167,0.821453989,21.907.701,0.021211916,0.679069551,126.983,0.047505758,2,0.316601307,4,0,-5.42,0.822045219,5.485.853.659
606,2012,Russia,Former Socialist Bloc,Buranovskiye Babushki,Party For Everybody,NA,NA,1,152,Away,Home,0,2,1,7.820.467.091,0.124794745,0.805853739,17.192.599,0.131378165,0.480666873,125.977,0.039788476,7,0.333005798,4,1,-6.661,0.827995324,521.443.038
607,2012,San Marino,Western Europe,Valentina Monetta,The Social Network Song  Oh Oh   Uh Oh Oh ,NA,NA,14,31,Away,Away,0,2,1,1.333.762.247,0.02545156,0.775459491,26.062.503,0.031264587,0.791794333,127.989,0.052666865,8,0.051309738,4,0,-5.425,0.6312896,NA
608,2012,Serbia,Former Yugoslavia, eljko Joksimovi ,Nije Ljubav Stvar,NA,NA,2,159,Away,Home,0,2,0,6.894.605.236,0.130541872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
609,2012,Slovakia,Former Socialist Bloc,Max Jason Mai,Don t Close Your Eyes,NA,NA,18,22,Away,Away,0,2,1,1.164.577.207,0.018062397,0.986192776,18.046.803,0.054825866,0.445091441,160.311,0.08514941,4,0.112073685,4,1,-5.591,0.307253104,NA
610,2012,Slovenia,Former Yugoslavia,Eva Boto,Verjamem,NA,NA,17,31,Away,Away,0,2,0,100.004.839,0.02545156,0.665150891,18.599.138,0.005514706,0.640833406,131.987,0.066998909,5,0.65587612,4,0,-8.679,0.34442387,NA
611,2012,Sweden,Scandinavia,Loreen,Euphoria,NA,NA,1,181,Away,Home,0,2,1,9.205.547.927,0.148604269,0.649941718,21.416.599,0.714239544,0.322560842,132.171,0.041278445,6,0.057158493,4,0,-6.081,0.242733913,5.534.042.553
612,2012,Switzerland,Western Europe,Sinplus,Unbreakable,NA,NA,11,45,Away,Away,0,2,1,2.492.076.114,0.036945813,0.945106834,18.877.497,0.020424536,0.505398222,143.935,0.04320848,7,0.088200969,4,1,-3.982,0.493807331,NA
